,Unnamed: 0,id,path_from_root,path_from_root_id,name,total_items_in_this_category
2044,2044,MLC455756,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Artesanía en Cerámica', 'Otros']","['MLC1368', 'MLC440159', 'MLC455755', 'MLC455756']",Otros,6
2045,2045,MLC455720,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Artesanía en Resina', 'Kits de Moldes']","['MLC1368', 'MLC440159', 'MLC455721', 'MLC455720']",Kits de Moldes,3774
2046,2046,MLC455718,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Artesanía en Resina', 'Pigmentos para Resina']","['MLC1368', 'MLC440159', 'MLC455721', 'MLC455718']",Pigmentos para Resina,3445
2047,2047,MLC455716,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Artesanía en Resina', 'Resinas']","['MLC1368', 'MLC440159', 'MLC455721', 'MLC455716']",Resinas,2818
2048,2048,MLC455722,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Artesanía en Resina', 'Otros']","['MLC1368', 'MLC440159', 'MLC455721', 'MLC455722']",Otros,18
2049,2049,MLC440179,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Carteles y Letreros']","['MLC1368', 'MLC440159', 'MLC440179']",Carteles y Letreros,4244
2050,2050,MLC436796,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Insumos para Hacer Velas', 'Moldes']","['MLC1368', 'MLC440159', 'MLC436793', 'MLC436796']",Moldes,5709
2051,2051,MLC432245,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Insumos para Hacer Velas', 'Pabilos para Velas']","['MLC1368', 'MLC440159', 'MLC436793', 'MLC432245']",Pabilos para Velas,1341
2052,2052,MLC432237,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Insumos para Hacer Velas', 'Parafina']","['MLC1368', 'MLC440159', 'MLC436793', 'MLC432237']",Parafina,283
2053,2053,MLC436795,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Insumos para Hacer Velas', 'Otros']","['MLC1368', 'MLC440159', 'MLC436793', 'MLC436795']",Otros,112
2054,2054,MLC455730,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Kits de Puntillismo']","['MLC1368', 'MLC440159', 'MLC455730']",Kits de Puntillismo,408
2055,2055,MLC455715,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Máquinas Corta Botellas']","['MLC1368', 'MLC440159', 'MLC455715']",Máquinas Corta Botellas,217
2056,2056,MLC455774,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Masas y Plastilina']","['MLC1368', 'MLC440159', 'MLC455774']",Masas y Plastilina,282
2057,2057,MLC432923,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Moldes para Artesanías']","['MLC1368', 'MLC440159', 'MLC432923']",Moldes para Artesanías,26626
2058,2058,MLC1369,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Pinturas']","['MLC1368', 'MLC440159', 'MLC1369']",Pinturas,12137
2059,2059,MLC417097,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Planchas de Corcho']","['MLC1368', 'MLC440159', 'MLC417097']",Planchas de Corcho,368
2060,2060,MLC417667,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Porcelana Fría']","['MLC1368', 'MLC440159', 'MLC417667']",Porcelana Fría,1048
2061,2061,MLC434742,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Vinilos para Frasco y Botella']","['MLC1368', 'MLC440159', 'MLC434742']",Vinilos para Frasco y Botella,17722
2062,2062,MLC440717,"['Arte, Librería y Cordonería', 'Arte y Manualidades', 'Otros']","['MLC1368', 'MLC440159', 'MLC440717']",Otros,3411
2063,2063,MLC414202,"['Arte, Librería y Cordonería', 'Artículos de Cordonería', 'Abrojos']","['MLC1368', 'MLC179312', 'MLC414202']",Abrojos,554
