meli_seller_id,skus_with_orders
31799876,70
31808214,13
31822446,1
31835373,1
31840640,1
31850760,1
31866130,7
31867911,7
31876160,3
31887037,2
31912330,3
31917202,5
31917285,12
31919113,119
31924970,449
31930127,2
31933743,1
31956477,80
31957657,1
31968391,1
31974335,1
31979686,1
31992324,1
31993031,1
31997145,7
32005152,125
32013826,1
32016139,1
32022699,2
32038032,9
32050308,5
32090093,102
32092248,1
32096446,1
32106771,1
32155527,2
32169551,4
32176845,1
32178654,53
32183716,5
32187024,15
32207772,1
32264909,1
32280365,152
32286167,9
32290306,1
32304653,6
32359873,1
32364302,1
32366293,1
32401019,3
32444555,21
32463715,73
32471610,3
32503663,5
32517440,12
32537529,2
32551602,1
32559317,1
32559743,2
32566851,2
32599161,7
32605856,131
32630795,3
32657709,1
32660750,10
32669490,18
32673224,5
32692617,31
32693797,297
32698212,19
32701302,1
32707918,2
32717428,1
32723638,7
32750361,3
32753804,2
32778158,335
32779769,1
32780429,2
32801017,3
32843899,37
32874892,2
32891742,25
32908246,38
32913669,7
32924152,1
32926528,1
32959837,1
32971851,2
32978648,1
32981601,3
32989816,205
32990498,17
33017431,3
33023669,90
33052783,1
33081229,1
33083592,3
33096533,1
33115971,2
33143719,5
33154428,1
33177248,14
33180451,7
33186904,1
33206310,5
33215740,2
33231259,22
33259003,5
33262719,1
33290751,1
33294605,1
33298973,4
33318805,1
33320821,1
33332218,2
33333446,3
33395305,1
33401734,9
33424098,1
33425940,1
33450835,1
33467779,1
33476473,2
33516675,1
33545837,2
33557169,6
33569613,19
33575163,2
33575201,510
33585109,375
33586600,1
33623314,2
33628970,1
33630281,6
33633199,66
33643492,7
33651039,3
33654059,1
33658747,340
33677871,2
33682164,8
33685387,1
33708996,5
33714846,1
33716911,1
33736768,25
33765142,2
33772734,9
33789409,1477
33795049,3
33821734,208
33863098,2
33868606,1
33883288,20
33893003,2
33910891,5
33913732,2
33923551,3
33932754,1
33940818,12
33958439,69
34004054,1
34008135,4
34034441,5
34056697,1
34070032,1
34072174,1
34080061,15
34095670,1
34101998,15
34119808,1
34122626,3
34150019,1
34150228,1
34152108,1
34155799,31
34158756,7
34158905,213
34179641,3
34182129,1
34184387,1
34188500,4
34197588,14
34200844,1
34222642,277
34227980,328
34240410,5
34242147,1
34257555,1
34267624,34
34286368,4
34304868,1
34307275,2
34316050,1
34332263,1
34354364,1
34376536,1
34391954,4
34397461,2
34400140,1
34411027,1
34422675,48
34423683,1
34426493,1
34442263,59
34461025,12
34470417,11
34515156,2
34522324,2
34536177,348
34537275,4
34564436,1
34587273,146
34619545,1
34635206,1
34637111,1
34637211,1
34648143,1
34652621,1
34658200,1
34665633,4
34675612,1
34677438,2
34678565,8
34678794,143
34680672,2
34689322,20
34774694,5
34782442,3
34807634,2
34810657,6
34833493,28
34856555,1
34857816,1
34858294,25
34880727,4
34890922,123
34946843,7
34964452,1
34965801,2
34967908,1
34999874,1
35012614,1
35015458,3
35022520,1
35041927,4
35059856,15
35071101,7
35123069,18
35139812,7
35152377,14
35175369,14
35180701,27
35186795,6
35211902,1
35214338,1
35224784,8
35229445,4
35233709,2
35240302,1
35252016,1
35274437,1
35284100,24
35296264,4
35300741,1
35329125,1
35339472,8
35355085,1
35362258,2
35365453,195
35382057,5
35399623,12
35400310,1
35404721,9
35407023,9
35424615,1
35445540,2
35454214,2
35474545,3
35479485,1
35485929,1
35489982,4
35491426,38
35502874,3
35521948,1
35523817,1
35526589,1
35574159,1
35577328,1
35605213,3
35610918,2
35618916,2
35627723,55
35634852,1
35640355,1
35646098,2
35648687,79
35671960,40
35703837,8
35707134,3
35708859,12
35714159,31
35752151,5
35754569,1
35760635,1
35769903,3
35790196,5
35800356,51
35804893,1
35821832,15
35827769,1
35829022,1
35848387,1
35849919,2
35858895,3
35865238,21
35873792,4
35890396,21
35894769,3
35899292,17
35941686,95
35973735,2
35990087,6
36006254,2
36022836,1
36025561,8
36027496,1
36059559,4
36064956,16
36069771,60
36123580,3
36138935,29
36168483,6
36170041,7
36170477,56
36183193,3
36235869,27
36242892,4
36246187,9
36254313,1
36255708,1
36261596,62
36266371,8
36270787,1
36295173,201
36309094,6
36344346,2
36364495,4
36378424,1
36384302,1
36384586,6
36396413,9
36434288,3
36439814,5
36445545,9
36482893,4
36489356,2
36498856,16
36511459,2
36519707,10
36538210,1
36565842,2
36568986,1
36573225,1
36573688,22
36579472,13
36643193,45
36651979,1
36668326,273
36670099,2
36680805,1
36712628,3
36713216,4
36714176,13
36725637,1
36744725,2
36762190,1
36763784,1
36767110,1
36771255,1
36774786,1
36781413,288
36794412,7
36832859,1
36839764,1
36851077,2
36854146,2
36863602,2
36864817,1
36875788,44
36886786,4
36929331,48
36946154,6
36952757,1
36955954,5
36962011,1
37000654,2
37008574,1
37008690,11
37011229,12
37034487,49
37040809,1
37072767,35
37080719,3
37090078,216
37109504,4
37111987,7
37114214,1
37135827,6
37141921,1
37163750,1
37173741,8
37174670,3
37179319,1
37194506,1
37198601,2
37200022,3
37202314,7
37203846,1
37204351,1
37240480,1
37244194,1
37248506,2
37250895,1
37304878,1
