meli_item_id,sold_quantity
MLC641383308,442
MLC514946723,279
MLC513287371,522
MLC613206741,312
MLC578755628,283
MLC550645213,1237
MLC529256425,276
MLC1004667630,336
MLC945491517,293
MLC629840807,360
MLC529531632,887
MLC513022257,500
MLC617238479,2002
MLC524123692,510
MLC563160720,515
MLC467614655,988
MLC562855249,16321
MLC514797604,6507
MLC979412896,257
MLC1000661644,345
MLC542274790,1266
MLC613547829,1151
MLC519333126,1586
MLC906064152,634
MLC611267996,465
MLC602803622,1453
MLC634826321,439
MLC545957674,373
MLC590566017,436
MLC538550759,352
MLC547889263,417
MLC526987515,1071
MLC554824563,1381
MLC550653436,696
MLC504279291,607
MLC903399051,2632
MLC583011880,1589
MLC544868104,273
MLC523281802,260
MLC507910590,468
MLC573234962,2238
MLC622435539,325
MLC542717593,2979
MLC571888316,3314
MLC571910711,1463
MLC509584345,507
MLC504317683,328
MLC551522390,509
MLC581604549,283
MLC902060139,1016
MLC600525799,253
MLC572218676,1995
MLC580691737,3410
MLC572959843,600
MLC617482964,744
MLC969989235,1585
MLC977256680,843
MLC513429233,881
MLC606822510,344
MLC579286492,315
MLC582187914,1036
MLC544869269,275
MLC963612151,267
MLC581012457,267
MLC561518693,3647
MLC535931460,270
MLC594823515,715
MLC545187813,1109
MLC503186733,931
MLC635354256,1536
MLC588069176,539
MLC587995767,2092
MLC904446538,924
MLC614773773,297
MLC567410219,607
MLC562731964,386
MLC562720794,899
MLC623352330,2645
MLC595495951,1229
MLC979725302,603
MLC502163067,267
MLC502163072,364
MLC987898802,1313
MLC978299101,273
MLC1000092035,253
MLC982775034,359
MLC924847734,305
MLC595403870,442
MLC566357154,1323
MLC988676076,1095
MLC582190652,2394
MLC580368033,2526
MLC551664278,3079
MLC542311891,2346
MLC522021579,1183
MLC640443621,257
MLC554414737,251
MLC572590286,583
MLC477684866,1700
MLC521007629,1098
MLC513737070,1219
MLC577042762,887
MLC610080154,455
MLC551843437,517
MLC520239399,1186
MLC560424569,266
MLC522634477,526
MLC511507615,341
MLC548406540,571
MLC501389363,662
MLC572590349,265
MLC570646302,1283
MLC484981110,373
MLC552912365,565
MLC561189812,283
MLC538870025,270
MLC554700978,392
MLC490344844,282
MLC492842181,294
MLC464581940,363
MLC492823523,547
MLC492843396,444
MLC582657530,498
MLC513432204,253
MLC541762683,596
MLC498803345,331
MLC594354854,345
MLC511510086,275
MLC496985040,277
MLC564123681,456
MLC635698882,348
MLC526666696,378
MLC994176450,526
MLC958973528,304
MLC563792214,1514
MLC640479217,469
MLC959953060,258
MLC550918355,330
MLC977880532,312
MLC505823130,963
MLC629840952,299
MLC549133746,407
MLC970455808,416
MLC607694702,982
MLC949925098,344
MLC608983252,477
MLC467801150,5175
MLC564963182,2105
MLC610591019,1908
MLC595369774,512
MLC484816200,529
MLC559717751,356
MLC493664661,432
MLC638067984,481
MLC551823088,459
MLC513736665,662
MLC554701009,503
MLC560226326,515
MLC493096756,532
MLC498800226,301
MLC590563871,372
MLC588591367,529
MLC551510650,427
MLC585796531,724
MLC513737396,498
MLC513737246,491
MLC582064016,464
MLC572590650,272
MLC590563446,348
MLC582064050,261
MLC562720142,376
MLC600298897,300
MLC535828187,692
MLC504092596,315
MLC529535105,584
MLC572575358,836
MLC529665130,342
MLC498166085,349
MLC596020665,647
MLC544728989,573
MLC634772646,590
MLC593063462,804
MLC1024880635,1202
MLC628770986,1321
MLC1008639376,892
MLC1024548518,340
MLC984064775,363
MLC519409423,2398
MLC539335534,309
MLC599229238,592
MLC922854998,306
MLC590136127,315
MLC475822721,1182
MLC958941178,353
MLC583011710,1504
MLC594827493,313
MLC620332492,343
MLC984395432,311
MLC969325520,527
MLC920017896,295
MLC635728110,289
MLC1028832619,271
MLC907215597,1064
MLC502014255,447
MLC473715765,639
MLC501159722,587
MLC524235715,662
MLC590171653,754
MLC627275292,565
MLC615004464,729
MLC529588301,845
MLC572218718,645
MLC524124594,465
MLC582063513,390
MLC531041325,316
MLC625094997,334
MLC525443689,335
MLC617007898,287
MLC1017680736,286
MLC463074800,448
MLC486804521,275
MLC963646004,2394
MLC639477535,1754
MLC913662575,512
MLC953454625,399
MLC552502853,925
MLC963785551,641
MLC920147240,2479
MLC570384482,657
MLC920557294,1473
MLC554181960,1104
MLC963932625,334
MLC962305055,296
MLC447823765,455
MLC595445592,265
MLC911449360,491
MLC642686210,320
MLC967345797,467
MLC620783056,1294
MLC927330994,281
MLC584835271,560
MLC630326009,510
MLC603780263,725
MLC633026168,569
MLC963641385,273
MLC468889312,2288
MLC460742380,1162
MLC908348019,252
MLC601072394,509
MLC601072341,334
MLC601073040,587
MLC976440517,305
MLC929008780,571
MLC962471044,759
MLC543484593,520
MLC460441500,663
MLC565527016,359
MLC624469269,480
MLC518852453,784
MLC963495826,504
MLC923035708,341
MLC623975870,638
MLC961880422,390
MLC924618035,427
MLC513032140,416
MLC578745788,641
MLC965460617,275
MLC614463080,469
MLC578401324,353
MLC613191039,1098
MLC584841454,663
MLC501655772,429
MLC460441911,386
MLC607215596,854
MLC582574913,763
MLC614463389,348
MLC536001758,368
MLC536001570,383
MLC464586166,3042
MLC463287168,260
MLC466891185,273
MLC600530645,267
MLC513429891,536
MLC582571845,593
MLC563039356,676
MLC922996846,257
MLC559378098,494
MLC465266402,279
MLC988110838,298
MLC532990730,1882
MLC489923880,1929
MLC988646382,982
MLC499304544,2544
MLC465836122,5042
MLC475591506,1911
MLC1021720053,371
MLC559928612,1160
MLC985097937,329
MLC472260422,856
MLC463806286,4257
MLC483701132,1244
MLC974765428,774
MLC499313594,1141
MLC463477357,4342
MLC616453416,489
MLC591333758,2067
MLC966040609,786
MLC499313275,572
MLC515570609,532
MLC515570170,860
MLC483584862,799
MLC543520552,346
MLC965624906,290
MLC982582189,315
MLC591333460,2227
MLC628548297,932
MLC465923890,1928
MLC984966835,628
MLC965631244,533
MLC585782521,778
MLC500488352,908
MLC483583755,1652
MLC947358988,257
MLC966041346,742
MLC601961228,680
MLC500490670,741
MLC996416314,288
MLC563447426,2111
MLC981436676,506
MLC619077339,1423
MLC904186639,669
MLC578385282,1933
MLC626097273,396
MLC965801834,276
MLC526410163,2340
MLC463477469,1533
MLC608661922,354
MLC578422295,531
MLC479754486,305
MLC1004876136,296
MLC530353815,1191
MLC492482207,851
MLC969031307,319
MLC447785669,1539
MLC473621171,1779
MLC489911816,1078
MLC485164064,517
MLC988634535,291
MLC477674861,481
MLC467306574,663
MLC498946087,582
MLC445434276,394
MLC473620944,2439
MLC915360598,405
MLC508227979,625
MLC482057394,722
MLC499307668,575
MLC628854128,597
MLC480666226,518
MLC529122036,362
MLC457719909,709
MLC480081443,1081
MLC474196146,1082
MLC489911219,293
MLC480666024,378
MLC988022824,328
MLC639064552,325
MLC582079803,576
MLC516843469,286
MLC612970823,527
MLC463806831,360
MLC498814045,443
MLC988022823,307
MLC486782574,270
MLC604250308,285
MLC590914236,342
MLC590564581,333
MLC619222225,366
MLC612971452,262
MLC536175801,253
MLC590565007,342
MLC590564525,414
MLC534106690,512
MLC461963017,1526
MLC625492140,545
MLC939116120,327
MLC968446323,262
MLC538877007,347
MLC536143484,299
MLC459348476,291
MLC459103840,549
MLC580854610,393
MLC576209369,477
MLC459348619,350
MLC462050214,1132
MLC641385143,321
MLC538083642,990
MLC502824253,383
MLC462050238,870
MLC455987279,548
MLC509661815,4614
MLC552680613,1770
MLC566012857,4105
MLC531221060,2711
MLC610580044,1757
MLC953941422,295
MLC509421238,3157
MLC592560980,454
MLC453515466,1007
MLC453515402,264
MLC532639476,1498
MLC536271981,589
MLC541534448,430
MLC970405014,604
MLC626413557,425
MLC451283944,3797
MLC565309949,1801
MLC519517587,662
MLC475984569,2106
MLC601924451,311
MLC583399433,837
MLC577045546,271
MLC584142135,328
MLC573473645,393
MLC531221007,781
MLC519497368,3414
MLC590919500,304
MLC590907892,918
MLC539017411,704
MLC468610183,466
MLC597766327,1868
MLC582587092,579
MLC475984989,676
MLC501517078,258
MLC526171408,631
MLC497278372,1088
MLC535114164,1375
MLC1005672536,305
MLC952371593,485
MLC489739042,409
MLC997358198,287
MLC607938901,560
MLC605513906,265
MLC460775316,432
MLC560663149,447
MLC613895000,474
MLC466844893,417
MLC452179338,480
MLC464859601,300
MLC552176174,542
MLC543469875,364
MLC505957037,277
MLC574466090,400
MLC490206711,418
MLC582058694,277
MLC539764144,254
MLC923165153,338
MLC902557286,624
MLC901033940,264
MLC918163274,276
MLC919102879,514
MLC626968631,331
MLC913526766,353
MLC904185479,560
MLC437609380,476
MLC524130374,749
MLC983865460,306
MLC523338275,292
MLC632427410,310
MLC552535446,357
MLC497278354,439
MLC498812362,270
MLC437546274,457
MLC640421784,294
MLC573218279,318
MLC502814510,297
MLC461846525,407
MLC639124707,437
MLC508390722,1585
MLC484759261,285
MLC564992634,337
MLC437585916,1484
MLC508599400,289
MLC449542244,494
MLC498969886,310
MLC448947428,619
MLC444571423,426
MLC635346654,412
MLC610170599,676
MLC965443660,634
MLC975102463,458
MLC924669030,316
MLC433557701,935
MLC524599912,309
MLC927177861,348
MLC458286469,447
